"Key","SourceString","Context","VariableDescription","Type","Tag"
"GiftTree","FICSMAS Gift Tree","Christmas factory decoration","","Game","#item"
"GiftTree/Description","A festively disguised production building. Reminder: Nothing is ever truly free.
Produces 15 Gifts per minute.","Christmas factory decoration","","Game","#item"
"LightsLine","FICSMAS Power Light","Christmas version of Power Light","","Game","#item"
"LightsLine/Description","A more festive take on the Power Line.","Christmas version of Power Light","","Game","#item"
"Skins/BasicFICSMAS","Can be applied to Conveyor Belts and Pipelines for a merry FICSMAS look.","Christmas factory decoration","","Game","#customization"
"Skins/PremiumFICSMAS","Can be applied to Factory Carts™, Trucks, and Drones for a merry FICSMAS look.","Christmas factory decoration","","Game","#customization"
"SnowDispenser","FICSMAS Snow Dispenser","Christmas factory decoration","","Game","#item"
"SnowDispenser/Description","Dispenses a mixture of water, air, and liquid nitrogen, practically identical to actual snow. Can be attached to Walls and ceilings.","Christmas factory decoration","","Game","#item"
"Snowball","Snowball","Christmas factory decoration","","Game","#item"
"Snowball/Description","Compressed dihydrogen monoxide crystals for weaponized fun!","Christmas factory decoration","","Game","#item"
"SnowballPile","Snowball Pile","Christmas factory decoration","","Game","#item"
"SnowballPile/Description","Ammo: Snowball

*Disclaimer: Snowballs in pile not included in ammo reserve.","Christmas factory decoration","","Game","#item"
"Snowman","FICSMAS Snowman","Christmas factory decoration","","Game","#item"
"Snowman/Description","The closest thing you'll get to having a friend.","Christmas factory decoration","","Game","#item"
"Wreath","FICSMAS Wreath","Christmas factory decoration","","Game","#item"
"Wreath/Description","A wreath woven from dead plants to bring that holiday spirit to your Walls.","Christmas factory decoration","","Game","#item"
